Nomor,Pertanyaan,Pilihan A,Pilihan B,Pilihan C,Pilihan D,Pilihan E
1,"1. Bagaimana kondisi pertumbuhan ekonomi digital Indonesia menurut laporan e-Conomy SEA 2024?","a. Tumbuh pesat didorong oleh lebih dari 2.500 startup aktif.","b. Terus tumbuh dan diproyeksikan melampaui angka USD 130 miliar.","c. Mengalami pertumbuhan yang positif setiap tahunnya.","d. Menjadi salah satu ekosistem startup terbesar di Asia Tenggara."
2,"2. Mengapa prinsip Keadilan dan Non-Diskriminasi (Fairness) krusial saat merancang AI untuk pasar Indonesia?","a. Agar semua golongan dapat mengakses teknologi AI.","b. Menghindari output yang mendiskriminasi etnis atau status ekonomi.","c. Karena keberagaman Indonesia yang tinggi menuntut sensitivitas terhadap representasi data yang adil untuk semua kelompok demografis.","d. AI tidak boleh membedakan ras, gender, atau agama."
3,"3. Bagaimana integrasi AI mengubah tuntutan bagi ketiga role 3H tersebut?","a. Mereka harus mampu menggunakan AI untuk mempercepat kerja, meningkatkan kualitas keputusan, dan menciptakan solusi adaptif.","b. Mereka tidak bisa lagi hanya menguasai skill konvensional.","c. Membutuhkan penggunaan AI untuk meningkatkan efisiensi dan kualitas produk.","d. Pekerjaan mereka menjadi lebih cepat dengan bantuan AI."
4,"4. Sebagai digital telco company yang mengakselerasikan pembangunan bangsa, bagaimana Telkomsel memanfaatkan kapabilitas teknologi terdepan seperti 5G untuk mendorong terobosan inovasi di segmen Business-to-Business (B2B)?","a. Melahirkan solusi digital tepat guna melalui Telkomsel myBusiness, seperti Digital Advertising (MyAds), Big Data (MSight), dan Internet of Things (IoT) untuk terobosan lintas fungsi industri.","b. Menyediakan pusat bantuan pelanggan (customer-centric) yang berbasis di kota-kota besar.","c. Berfokus pada penjualan paket kuota data tanpa batas untuk karyawan kantoran.","d. Menghadirkan portofolio gaya hidup digital seperti MAXstream, Langit Musik, dan Dunia Games."
5,"5. Bagaimana data Microsoft dan LinkedIn (2024) menggambarkan adopsi AI di tempat kerja Indonesia?","a. 92% knowledge workers Indonesia menggunakan AI, tertinggi di antara semua negara survei, menunjukkan AI adalah alat kerja nyata.","b. Adopsinya sangat tinggi melampaui angka rata-rata global sebesar 75%.","c. Mayoritas pekerja profesional di Indonesia sudah menggunakan AI generatif.","d. AI sudah banyak digunakan dalam pekerjaan sehari-hari."
6,"6. Sebagai bagian dari Top 1000 yang berhasil lolos, kalian kini berada di dalam ekosistem binaan CSR Telkomsel. Apa esensi utama dari visi Telkomsel dalam mengembangkan ekosistem digital nasional yang inklusif?","a. Menyediakan aplikasi hiburan digital yang eksklusif bagi masyarakat urban dan pelaku industri besar.","b. Mengakselerasikan pembangunan bangsa melalui solusi pemanfaatan teknologi tepat guna yang mampu memberikan manfaat nyata bagi seluruh lapisan masyarakat di Indonesia.","c. Membuka lapangan kerja konvensional sebanyak-banyaknya di sektor retail telekomunikasi.","d. Menjadi satu-satunya penyedia jaringan telekomunikasi tunggal di wilayah Asia Tenggara."
7,"7. Dalam kerangka pembelajaran AI untuk tim 3H, apa tujuan utama dari tahap AI Awareness?","a. Memahami bahwa AI bisa menganalisis dan memutuskan, bukan cuma chat.","b. Mengetahui definisi LLM dan machine learning.","c. Mengedukasi mengenai risiko hallucination pada AI.","d. Menggeser paradigma dari AI sekadar chatbot menjadi agen analisis, serta membangun fondasi kesadaran akan risiko bias dan keterbatasan bahasa secara dini."
8,"8. Guna mendorong pertumbuhan ekosistem bisnis digital secara berkelanjutan, Telkomsel menyediakan platform penyokong bagi para inovator lokal. Jika pelaku startup digital atau talenta pengembang berada di fase awal ( early-stage ) dan ingin berkolaborasi da","a. Layanan aplikasi super-app MyTelkomsel.","b. Jaringan kemitraan retail GraPARI Digital Online.","c. Program perluasan pasar infrastruktur telekomunikasi regional.","d. NextDev dan Telkomsel Innovation Center (TINC) yang berfokus pada inkubasi teknologi serta solusi go-to-market."
9,"9. Apa target Kementerian Kominfo terkait pengembangan talenta digital pada tahun 2030?","a. Melahirkan jutaan talenta melalui Digital Talent Scholarship.","b. Memenuhi kebutuhan talenta teknologi di Indonesia.","c. Melahirkan 9 juta talenta digital, termasuk 200.000 talenta AI spesialis.","d. Menghasilkan jutaan ahli digital dan ratusan ribu spesialis kecerdasan buatan."
10,"10. Apa yang dimaksud dengan kontrol manusia (Human Safety & Oversight) atas sistem AI?","a. Kemampuan manusia untuk menghentikan, mengoreksi, atau mengintervensi sistem AI, terutama pada keputusan berdampak tinggi.","b. Keamanan penggunaan aplikasi oleh manusia.","c. AI harus selalu beroperasi dalam pengawasan manusia.","d. Memastikan AI tidak membuat keputusan final tanpa adanya koreksi dari manusia."
11,"11. Apa future skill yang membedakan Hacker masa depan dari programmer konvensional?","a. Tidak sekadar menulis kode, tetapi memahami arsitektur AI.","b. Mampu mengevaluasi kualitas output AI dan menjaga keamanan sistem.","c. Memiliki kemampuan coding dengan bantuan prompt.","d. Mampu berpikir arsitektural, memahami konteks, dan memastikan sistem AI berjalan adil, transparan, dan aman."
12,"12. Apa fokus utama seorang Hipster dalam pengembangan produk teknologi?","a. Menjembatani teknologi dengan manusia agar produk mudah digunakan, menarik, bermakna, dan memberikan pengalaman baik bagi semua.","b. Memastikan produk memiliki nilai guna, relevan secara visual, dan sesuai kebutuhan pengguna.","c. Membuat desain antarmuka dan prototipe.","d. Melakukan user research dan menerjemahkannya ke dalam konsep produk."
13,"13. Mengapa Responsible AI disebut sebagai 'tanggung jawab bersama' dalam tahap AI-Integrated Collaboration?","a. Karena kolaborasi lintas fungsi adalah momen di mana Hacker, Hipster, dan Hustler saling memeriksa dan melengkapi penerapan keamanan, inklusivitas, serta kejujuran bisnis secara terintegrasi.","b. Karena AI digunakan oleh semua anggota tim produk digital.","c. Karena seluruh tim harus menyepakati penggunaan tools kecerdasan buatan.","d. Karena masing-masing role dapat mengingatkan kelemahan teknis, kelayakan desain, dan nilai bisnis satu sama lain saat memakai AI."
14,"14. Apa esensi utama dari konsep 3H dalam ekosistem startup dan perusahaan teknologi?","a. Konsep yang dipopulerkan di konferensi SXSW 2012.","b. Cara untuk menjelaskan fungsi pengembangan produk digital.","c. Pembagian kerja berdasarkan kemampuan teknis, desain, dan pasar.","d. Struktur kerja yang memastikan product development, user experience, dan business growth saling terhubung."
15,"15. Apa tantangan struktural yang masih dihadapi ekosistem AI di Indonesia?","a. Kesenjangan infrastruktur digital, keterbatasan dukungan Bahasa Indonesia pada model global, dan gap pemahaman risiko etis.","b. Ketidakmerataan akses digital antara kota dan daerah serta masalah literasi bahasa.","c. Masih banyak masyarakat yang belum melek digital.","d. Model AI global belum cukup baik menangani bahasa lokal Indonesia."
16,"16. Apa makna prinsip Akuntabilitas (Accountability) dalam siklus kerja teknologi?","a. Bertanggung jawab saat menggunakan aplikasi AI.","b. AI tidak bisa disalahkan apabila terjadi sebuah kesalahan operasional.","c. Ada manusia yang bertanggung jawab penuh atas output AI, bukan AI-nya itu sendiri.","d. Terdapat mekanisme human oversight yang jelas untuk mempertanggungjawabkan keputusan berdampak tinggi dari bantuan AI."
17,"17. Dalam tim 3H, apa misi utama seorang Hustler?","a. Mencari pelanggan dan melakukan pemasaran.","b. Membangun model bisnis dan partnership.","c. Memastikan produk memiliki pasar, revenue model, traction, dan potensi pertumbuhan berkelanjutan.","d. Membawa produk ke pasar dan memastikan adanya nilai ekonomi."
18,"18. Apa risiko utama jika produk AI dibangun tanpa mempertimbangkan nilai-nilai budaya lokal Indonesia, seperti gotong royong dan keharmonisan?","a. Produk AI akan kurang relevan dengan kebiasaan masyarakat.","b. Kurang laku karena tidak sesuai konteks lokal.","c. Menghasilkan produk yang tidak relevan secara kontekstual dan bahkan dapat merusak fabric sosial masyarakat.","d. Bisa memicu gesekan sosial karena tidak memahami nilai keharmonisan."
19,"19. Nilai utama apa yang harus dimiliki seorang Hustler masa depan di era kecerdasan buatan?","a. Kemampuan membaca sinyal pasar dan menguji asumsi dengan data AI.","b. Menggunakan AI untuk mempercepat sales.","c. Menggabungkan business sense dengan AI literacy sambil memastikan keputusan bisnis dijalankan secara etis.","d. Memiliki kecerdasan bisnis yang didukung intelijen buatan."
20,"20. Sektor apa saja yang menjadi lima prioritas dalam Strategi Nasional Kecerdasan Artifisial (Stranas KA)?","a. Layanan kesehatan, reformasi birokrasi, pendidikan, ketahanan pangan, dan mobilitas kota cerdas.","b. Pelayanan publik dan teknologi pintar.","c. Birokrasi, kesehatan, dan pendidikan masyarakat.","d. Kesehatan, pangan, pendidikan, birokrasi pemerintahan, dan mobilitas."
21,"21. Definisi manakah yang paling komprehensif menjelaskan Responsible AI?","a. Pembangunan dan pengawasan sistem AI yang menjunjung etika dan keadilan sosial.","b. Pendekatan untuk membuat sistem kecerdasan buatan yang aman.","c. Penggunaan AI yang meminimalisir dampak negatif pada manusia.","d. Pendekatan pengembangan AI yang etis, transparan, adil, dan aman untuk memberikan manfaat nyata tanpa dampak negatif bagi masyarakat."
22,"22. Dalam menjaga Privasi dan Keamanan Data (Privacy & Data Security), apa yang paling mengikat para praktisi tech di Indonesia secara regulasi sejak 2024?","a. Kepatuhan penuh terhadap Undang-Undang Pelindungan Data Pribadi (UU PDP).","b. Perlindungan data pengguna, mitigasi risiko data breach, dan kepatuhan penuh terhadap UU PDP.","c. Menjaga kerahasiaan informasi personal pengguna aplikasi.","d. Memahami risiko kebocoran data di era digital."
23,"23. Apa tantangan spesifik bagi seorang Hipster di Indonesia terkait desain masa depan (future skill)?","a. Harus bisa mendesain produk yang inklusif untuk berbagai daerah.","b. Menguasai visualisasi yang cocok untuk budaya lokal.","c. Mempertimbangkan latar belakang pengguna yang berbeda-beda.","d. Mampu mendesain untuk pengguna yang beragam secara literasi digital, bahasa, dan latar belakang budaya."
24,"24. Menurut Future of Jobs Report 2025, mengapa AI penting dalam lanskap keterampilan manusia?","a. Karena banyak pekerjaan yang akan menggunakan AI.","b. AI dan big data memicu tuntutan kolaborasi manusia-mesin, AI literacy, berpikir kritis, adaptabilitas, dan kreativitas.","c. AI menjadi skill dengan pertumbuhan tercepat menuju 2030.","d. Meningkatkan pentingnya pemikiran kreatif, pembelajaran seumur hidup, dan literasi teknologi."
25,"25. Bagaimana dampak adopsi Generative AI terhadap profil skill yang dibutuhkan perusahaan berdasarkan studi job postings?","a. Pekerjaan berbasis AI membutuhkan kemampuan berpikir yang lebih baik.","b. Role yang membutuhkan GenAI secara eksplisit mengalami peningkatan permintaan cognitive skills sebesar 36,7% dan social skills 5,2%.","c. Mengubah standar keahlian yang dibutuhkan karyawan.","d. Menuntut cognitive skills dan social skills yang jauh lebih tinggi bagi pekerjanya."
26,"26. Bagaimana wujud nyata dari prinsip Transparansi (Transparency) pada sebuah produk AI?","a. Pengguna mengetahui saat berinteraksi dengan AI, cara kerjanya dapat dijelaskan, dan ada alasan memadai atas output yang dihasilkan.","b. Memberikan keterangan bahwa produk tersebut memakai AI.","c. Dasar pengambilan keputusan sistem AI tersebut tidak disembunyikan dari penggunanya.","d. Menjelaskan cara kerja kecerdasan buatan secara garis besar."
27,"27. Berdasarkan studi empiris, bagaimana Generative AI paling banyak digunakan dalam software engineering?","a. Untuk membantu memprogram sistem.","b. Paling banyak digunakan untuk implementation, verification and validation, personal assistance, dan maintenance-related tasks.","c. Mengurangi cycle time dan meningkatkan produktivitas teknis.","d. Membantu implementasi kode, validasi keamanan, dan pemeliharaan aplikasi."
28,"28. Mengapa menyerahkan seluruh workflow UX kepada AI belum terbukti produktif bagi Hipster?","a. Karena AI tidak bisa menggantikan desainer sepenuhnya.","b. Karena AI hanya bertindak sebagai alat pelengkap.","c. Pendekatan efektif adalah menggunakan AI sebagai alat bantu yang tetap diarahkan oleh desainer secara strategis.","d. Desainer harus tetap memegang kendali pada empati dan konteks desain."
29,"29. Apa tanggung jawab paling mendasar dari seorang Hacker?","a. Membangun produk digital melalui coding, infrastruktur, dan integrasi teknologi.","b. Menerjemahkan ide menjadi sistem atau aplikasi.","c. Memastikan solusi yang dirancang dapat dibangun, berjalan stabil, aman, scalable, dan berkelanjutan.","d. Menulis kode untuk perangkat lunak dan arsitektur sistem."
30,"30. Dalam mewujudkan ekosistem digital yang berkesinambungan di Indonesia, Telkomsel berkomitmen menciptakan dampak sosial positif melalui empat pilar CSR utamanya. Program upskilling talenta digital yang saat ini sedang kalian ikuti merupakan perwujudan nyat","a. Pemberdayaan ekonomi makro dan ekspansi pasar.","b. Filantropi komersial skala nasional.","c. Penyediaan infrastruktur jaringan internet murah di daerah terpencil.","d. Pendidikan dan Kewarganegaraan Digital demi menciptakan dampak sosial inklusif di seluruh penjuru negeri."